Origin,Dest,flights,delay_rate,avg_arr_delay,avg_risk,distance,route_share_to_dest,route_share_from_origin
DCA,JFK,534,0.1404494382022472,8.696629213483146,0.1027700005394742,213.0,0.03086526790358939,0.029946164199192462
DCA,LAS,90,0.05555555555555555,3.8333333333333335,0.12177349829352532,2089.0,0.0036588340515489063,0.0050471063257065945
DCA,LAX,357,0.19327731092436976,11.862745098039216,0.1833028044329688,2311.0,0.012261299629069928,0.020020188425302825
DCA,LGA,1072,0.1912313432835821,16.065298507462686,0.1426947492289208,214.0,0.05260833292437552,0.060116644235083
DCA,MCO,1337,0.23410620792819745,20.167539267015705,0.2069575416975209,759.0,0.04875291715285881,0.07497756841633019
DCA,MDW,497,0.12474849094567404,8.33400402414487,0.14263314496601248,601.0,0.04846889018919446,0.027871242709735306
DCA,MIA,970,0.24020618556701032,21.523711340206187,0.23427266761607876,919.0,0.045808736717827626,0.05439659039928219
DCA,MSP,509,0.1237721021611002,11.846758349705304,0.1295216734951805,931.0,0.033604013996170856,0.02854419021982952
DCA,ORD,1470,0.14761904761904762,15.3,0.15382376275615406,612.0,0.047929572872513856,0.08243606998654104
DCA,PHL,325,0.11384615384615385,11.070769230769232,0.11919850063970137,119.0,0.022084805653710248,0.01822566173171826
DCA,PHX,272,0.09926470588235294,6.459558823529412,0.14767296744618416,1979.0,0.010862186014935505,0.01525347689546882
DCA,SEA,180,0.16111111111111112,10.833333333333334,0.19055184643968234,2329.0,0.010464507877448986,0.010094212651413189
DCA,SFO,180,0.17777777777777778,15.78888888888889,0.19923876297681897,2442.0,0.009320147051209031,0.010094212651413189
DCA,SLC,91,0.14285714285714285,10.021978021978022,0.15648806382994296,1851.0,0.0057049714751426246,0.005103185284881112
DCA,TPA,559,0.24150268336314848,20.38103756708408,0.18643274246540567,814.0,0.03622812702527544,0.031348138178555404
DEN,ATL,1436,0.1977715877437326,11.814066852367688,0.23391688104806044,1199.0,0.04153049715128554,0.04594758903145298
DEN,AUS,1050,0.24476190476190476,13.147619047619047,0.2857359794461277,775.0,0.07050765511684126,0.03359677470962787
DEN,BNA,903,0.2369878183831672,14.992248062015504,0.2909501016176852,1014.0,0.054987212276214836,0.028893226250279975
DEN,BOS,704,0.34375,20.448863636363637,0.331486971995628,1754.0,0.02998424123684995,0.022525837519598118
DEN,BWI,642,0.2601246105919003,14.274143302180685,0.3131424801697705,1491.0,0.05141758769822201,0.02054202796531533
DEN,CLT,691,0.2040520984081042,11.901591895803184,0.2242350081626172,1337.0,0.032238499580106376,0.02210987745176463
DEN,DAL,792,0.24116161616161616,13.63510101010101,0.29481757711222306,651.0,0.08886894075403949,0.025341567209547885
DEN,DCA,361,0.19390581717451524,12.041551246537397,0.2546961413959468,1476.0,0.020269511510387424,0.011550891114453012
DEN,DFW,1372,0.24635568513119532,19.340379008746357,0.29256471378270565,641.0,0.04982387333405963,0.043899785620580424
DEN,DTW,687,0.25036390101892286,15.106259097525474,0.2645624412014662,1123.0,0.03971327822417481,0.021981889738585097
DEN,EWR,595,0.2218487394957983,20.443697478991595,0.20490178301754955,1605.0,0.03222137983320698,0.019038172335455798
